,investor,cryptocurrency,announced_on
1039,369,MATIC,2019-04
1040,369,MINA,2019-04
1041,369,MOB,2021-08
1042,369,MVI,2021-05
1043,369,NAOS,2021-05
1044,369,NEAR,2019-07
1045,369,NFTI,2021-05
1046,369,RLY,2021-01
1047,369,SBTC,2020-12
1048,369,SDT,2021-01
1049,369,SETH,2020-12
1050,369,SNX,2020-12
1051,369,STETH,2021-05
1052,369,UDT,2018-06
1053,369,UMA,2021-01
1054,369,VEGA,2021-03
1055,369,ZRX,2021-02
1056,369,sLINK,2020-12
1057,370,CDT,2017-05
1058,370,IND,2017-05
1059,370,RIF,2016-03
1060,371,AVAX,2021-09
1061,371,DG,2021-06
1062,371,SOL,2021-06
1063,371,XCH,2020-08
1064,372,AXS,2021-05
1065,372,LPT,2019-06
1066,372,RLY,2012-06
1067,372,SC,2020-09
1068,372,SLP,2021-05
1069,373,CXO,2016-07
1070,374,CHEX,2021-02
1071,375,FUSE,2020-07
1072,376,BEAM,2018-04
1073,376,GRT,2020-06
1074,376,KDA,2018-04
1075,376,NAOS,2021-04
1076,376,NXM,2021-02
1077,376,SOV,2020-12
1078,376,TT,2018-04
1079,377,UCT,2018-03
1080,378,BOX,2018-06
1081,378,DILI,2019-07
1082,379,RLY,2018-01
1083,380,HXRO,2021-06
1084,381,CBAT,2018-05
1085,381,CCOMP,2018-05
1086,381,CDAI,2018-05
1087,381,COMP,2018-05
1088,381,CREP,2018-05
1089,381,CUNI,2018-05
1090,381,CWBTC,2018-05
1091,381,CZRX,2018-05
1092,381,GRT,2019-01
1093,381,KDA,2018-04
1094,381,KEEP,2018-04
1095,381,LPT,2019-06
1096,381,NU,2017-12
1097,381,OXT,2017-10
1098,381,STX,2017-01
1099,382,BYN,2019-04
1100,383,RLY,2019-12
1101,384,ICX,2017-07
1102,384,WAN,2017-09
1103,385,RLY,2014-11
1104,386,AXS,2019-11
1105,386,CADC,2019-02
1106,386,SLP,2019-11
1107,386,VPP,2021-04
1108,387,POOL,2020-02
1109,387,RPL,2018-05
1110,387,SKL,2019-10
1111,387,UDT,2018-06
1112,387,XNK,2018-05
1113,388,ALI,2018-03
1114,388,BYN,2021-06
1115,388,ONE,2019-04
1116,388,RAZOR,2020-11
1117,389,BLOC,2018-07
1118,389,BVOL,2019-08
1119,389,CELR,2018-07
1120,389,DX,2018-08
1121,389,FTT,2019-08
1122,389,GMAT,2019-01
1123,389,HEDGE,2019-08
1124,389,QKC,2018-06
1125,389,TROY,2019-07
1126,390,ICX,2018-10
1127,390,SHFT,2018-06
1128,391,ASAP,2021-04
1129,391,BAL,2021-05
1130,391,GLM,2016-11
1131,391,GZIL,2017-11
1132,391,OMG,2017-06
1133,391,RDN,2017-10
1134,391,ZIL,2017-11
1135,392,CTXC,2017-11
1136,393,XRP,2013-11
1137,394,OST,2016-11
1138,395,DPI,2018-12
1139,395,MVI,2018-12
1140,395,NFTI,2018-12
1141,395,XCH,2018-03
1142,396,FIL,2017-09
1143,397,CFG,2019-10
1144,397,WCFG,2019-10
1145,398,NRVE,2014-09
1146,399,LOOM,2018-02
1147,399,NU,2017-10
1148,399,RLY,2020-06
1149,399,SHIFT,2019-12
1150,400,DOV,2017-04
1151,401,GMEE,2017-03
1152,402,KLAY,2018-12
1153,403,ICX,2020-08
1154,404,AVA,2019-03
1155,404,BAX,2018-06
1156,404,CELO,2018-06
1157,404,GEO,2019-05
1158,404,VGX,2016-02
1159,404,WXT,2020-09
1160,405,BOSON,2021-03
1161,405,TBC,2021-04
1162,406,ENJ,2021-06
1163,406,FXS,2021-08
1164,406,PENDLE,2021-05
1165,407,CRU,2019-09
1166,407,CSM,2019-09
1167,408,LBA,2018-04
1168,409,CWAP,2021-05
1169,410,CHEX,2021-02
1170,411,BYN,2021-02
1171,411,DOWS,2021-02
1172,411,HAKA,2021-06
1173,411,LABS,2021-02
1174,411,LKR,2021-04
1175,411,PPAY,2021-03
1176,411,RELI,2021-05
1177,412,SPORTS,2020-09
1178,413,INJ,2020-07
1179,413,VEGA,2021-03
1180,414,CELO,2018-06
1181,415,OGN,2018-04
1182,416,ARIA20,2021-03
1183,416,XCH,2021-05
1184,417,ICX,2017-09
1185,417,KEEP,2018-04
1186,417,OGN,2018-04
1187,417,STX,2017-12
1188,418,XCH,2018-07
1189,419,ICX,2018-10
1190,420,DODO,2020-10
1191,420,DVF,2020-08
1192,420,PENDLE,2021-05
1193,421,DOP,2021-05
1194,421,PHTR,2021-04
1195,421,PUSH,2020-12
1196,422,BTT,2008-09
1197,423,ISP,2021-05
1198,423,LEV,2021-04
1199,423,MAKI,2021-04
1200,423,SHLD,2021-05
1201,424,ASAP,2021-04
1202,425,WILD,2021-05
1203,426,BTT,2008-09
1204,426,SHIFT,2014-11
1205,426,TFUEL,2017-12
1206,426,THETA,2017-12
1207,426,XCH,2018-03
1208,427,HUB,2018-06
1209,427,LINK,2014-09
1210,427,MLN,2017-10
1211,428,LEV,2021-04
1212,429,LBA,2018-04
1213,430,QSP,2019-03
1214,431,HNT,2019-06
1215,431,QSP,2019-03
1216,432,AMPL,2018-03
1217,432,ANKR,2018-06
1218,432,ATP,2018-08
1219,432,AUCTION,2020-03
1220,432,CBAT,2018-05
1221,432,CCOMP,2018-05
1222,432,CDAI,2018-05
1223,432,COMP,2018-05
1224,432,CREP,2018-05
1225,432,CUNI,2018-05
1226,432,CWBTC,2018-05
1227,432,CZRX,2018-05
1228,432,FORTH,2018-03
1229,432,FTM,2018-06
1230,432,HBAR,2018-03
1231,432,IOST,2018-01
1232,432,LQD,2018-03
1233,432,NU,2018-04
1234,432,OGN,2018-04
1235,432,ONG,2018-02
1236,432,ONT,2018-02
1237,432,POND,2019-07
1238,432,TFUEL,2017-12
1239,432,THETA,2017-12
1240,432,UGAS,2018-07
1241,432,WFTM,2018-06
1242,432,XCH,2018-03
1243,433,SLICE,2018-11
1244,434,SHIFT,2013-12
1245,435,CTXC,2018-06
1246,436,VET,2018-05
1247,437,BEST,2021-03
1248,438,AAVE,2020-07
1249,438,GRT,2019-01
1250,438,POOL,2020-02
1251,439,CELO,2021-04
1252,440,STMX,2017-01
1253,441,RLY,2019-12
1254,442,XRP,2016-09
1255,443,CVC,2017-06
1256,444,SNT,2014-03
1257,445,OPT,2020-07
1258,446,SPORTS,2020-09
1259,446,STX,2019-12
1260,447,SHX,2018-07
1261,448,BNB,2017-07
1262,449,MLN,2017-10
1263,450,ISP,2021-05
1264,450,MARSH,2021-03
1265,451,PAY,2016-01
1266,452,TRU,2021-08
1267,453,NEU,2020-12
1268,454,DVF,2021-05
1269,455,DVF,2021-05
1270,456,IFT,2016-01
1271,457,DVF,2021-05
1272,458,LQTY,2021-03
1273,459,FIL,2017-08
1274,460,STMX,2017-10
1275,461,NPXS,2017-10
1276,461,NPXSXEM,2017-10
1277,461,PUNDIX,2017-10
1278,462,ASP,2018-03
1279,462,GASP,2018-03
1280,463,SHX,2018-07
1281,464,GMEE,2018-12
1282,465,DFX,2021-02
1283,465,ENJ,2021-06
1284,465,INST,2021-06
1285,465,NAOS,2021-04
1286,465,PENDLE,2021-05
1287,465,SLRS,2021-07
1288,465,VEGA,2021-03
1289,465,ZRX,2021-02
1290,466,PUSH,2020-12
1291,467,MAPS,2021-01
1292,468,GLM,2017-04
1293,469,PAX,2020-12
1294,469,PAXG,2020-12
1295,470,DUSK,2015-07
1296,470,PROPEL,2016-01
1297,470,XKI,2015-04
1298,471,UTU,2018-12
1299,472,BAL,2021-02
1300,472,DODO,2020-10
1301,472,DPI,2021-05
1302,472,DVF,2021-05
1303,472,INDEX,2021-07
1304,472,INSUR,2020-10
1305,472,MVI,2021-05
1306,472,NFTI,2021-05
1307,473,4STC,2019-05
1308,474,AERGO,2018-11
1309,474,CKB,2018-07
1310,474,KEEP,2018-04
1311,474,LBA,2018-04
1312,475,ETHA,2021-03
1313,476,DVF,2021-05
1314,476,SLRS,2021-07
1315,476,YGG,2021-03
1316,477,BOSON,2021-03
1317,477,DWZ,2021-02
1318,477,PUSH,2020-12
1319,477,QARK,2021-05
1320,478,INXT,2020-03
1321,479,VALOR,2017-11
1322,480,PAY,2017-03
1323,481,CHSB,2017-01
1324,482,NPXS,2017-10
1325,482,NPXSXEM,2017-10
1326,482,PUNDIX,2017-10
1327,483,ETHIX,2020-05
1328,484,TBC,2021-04
1329,485,KDA,2018-04
1330,486,NXM,2021-02
1331,486,SI,2020-12
1332,487,KIRO,2021-05
1333,488,AKT,2020-03
1334,488,ALGO,2018-08
1335,488,AVAX,2020-06
1336,488,GRT,2020-06
1337,488,KAVA,2019-02
1338,488,ONE,2019-05
1339,488,TT,2018-03
1340,489,TLM,2021-03
1341,490,API3,2020-11
1342,490,CLOUT,2021-03
1343,490,CVC,2016-01
1344,490,FIL,2014-07
1345,490,FLEX,2019-03
1346,490,FOX,2015-03
1347,490,GRT,2020-01
1348,490,HBAR,2018-03
1349,490,LDO,2021-05
1350,490,LPT,2017-05
1351,490,MANA,2020-01
1352,490,MASK,2021-02
1353,490,PAX,2013-11
1354,490,PAXG,2013-11
1355,490,RIF,2016-03
1356,490,STETH,2021-05
1357,490,STX,2014-07
1358,490,XRP,2013-04
1359,490,ZEC,2016-01
1360,490,ZOMB,2020-11
1361,491,ENJ,2021-06
1362,491,ETHA,2021-03
1363,491,KEX,2020-12
1364,491,MEM,2021-05
1365,491,POP,2017-01
1366,491,REEF,2020-10
1367,491,RIF,2017-03
1368,491,STOS,2021-05
1369,491,VPP,2021-04
1370,492,HNT,2013-11
1371,493,YLD,2020-12
1372,494,CGT,2020-04
1373,495,ZIG,2021-04
1374,496,CKB,2018-07
1375,496,CLOUT,2021-09
1376,496,DODO,2020-10
1377,496,DOT,2017-10
1378,496,FOAM,2018-08
1379,496,KDA,2018-04
1380,496,LPT,2017-05
1381,496,QTUM,2017-03
1382,496,SOL,2019-07
1383,496,WAXP,2017-11
1384,497,ATA,2021-03
1385,497,CONV,2021-02
1386,497,DFX,2021-02
1387,497,IF,2021-06
1388,498,HNT,2013-11
1389,499,VEGA,2021-03
1390,500,WAVES,2018-12
1391,501,4STC,2019-05
1392,502,STX,2014-07
1393,503,SPIKE,2016-09
1394,504,IOV,2018-03
1395,505,1INCH,2020-08
1396,505,ARCX,2021-06
1397,505,AVAX,2020-06
1398,505,CKB,2019-12
1399,505,COFI,2020-10
1400,505,DDX,2020-07
1401,505,FLEX,2019-08
1402,505,MKR,2019-12
1403,505,NEAR,2021-01
1404,505,NMR,2020-06
1405,505,POOL,2021-05
1406,505,SC,2020-09
1407,506,JUR,2021-04
1408,506,MPH,2019-01
1409,506,SENSE,2016-08
1410,507,BTO,2018-01
1411,507,GDT,2021-04
1412,507,IOTX,2018-02
1413,507,OPEN,2018-03
1414,507,PLA,2018-11
1415,507,UGAS,2018-05
1416,508,DMG,2020-03
1417,509,ECOIN,2021-05
1418,510,ALI,2018-03
1419,510,ATN,2018-02
1420,511,MOB,2021-08
1421,512,VGX,2021-05
1422,513,SENSE,2015-01
1423,514,DAPPT,2019-09
1424,515,BOSON,2021-03
1425,515,BYN,2021-06
1426,515,CONV,2021-02
1427,515,TOTM,2021-03
1428,516,KRT,2018-08
1429,516,LUNA,2018-08
1430,516,SDT,2018-08
1431,517,BAND,2019-02
1432,518,CDT,2019-01
1433,519,DATA,2017-01
1434,520,IQ,2018-02
1435,520,PUML,2019-12
1436,521,HNS,2018-10
1437,522,INXT,2020-03
1438,523,CAPP,2015-12
1439,524,TSX,2020-08
1440,525,FOX,2017-03
1441,526,ALGO,2018-10
1442,526,BEAM,2019-01
1443,526,GZIL,2018-01
1444,526,ICX,2017-09
1445,526,LRC,2017-08
1446,526,ONG,2018-01
1447,526,ONT,2018-01
1448,526,PAY,2017-06
1449,526,QKC,2018-06
1450,526,QTUM,2017-03
1451,526,REQ,2017-10
1452,526,RLC,2017-04
1453,526,TOMO,2018-03
1454,526,VEGA,2019-10
1455,526,WAN,2017-10
1456,526,ZEC,2016-10
1457,526,ZIL,2018-01
1458,527,SRM,2020-07
1459,528,SI,2020-12
1460,529,CELO,2018-06
1461,530,CELO,2021-02
1462,530,DDX,2020-07
1463,530,EGLD,2019-07
1464,530,FLEX,2021-02
1465,530,GTC,2021-04
1466,530,NEAR,2019-07
1467,530,POND,2019-07
1468,530,RAD,2021-02
1469,530,TT,2019-02
1470,531,$COIN,2014-05
1471,532,RAISE,2012-10
1472,533,RLY,2018-09
1473,534,AGIX,2018-01
1474,534,QRL,2017-01
1475,535,MLN,2017-10
1476,536,GMEE,2021-05
1477,537,BLOC,2018-06
1478,537,CELR,2018-07
1479,537,CRE,2018-05
1480,537,FTM,2018-06
1481,537,HBAR,2018-08
1482,537,HUB,2018-06
1483,537,WFTM,2018-06
1484,538,ICX,2018-10
1485,539,HNS,2014-03
1486,539,ZINC,2016-06
1487,540,HNS,2020-10
1488,541,HUM,2018-09
1489,542,API3,2019-11
1490,542,OCC,2021-06
1491,543,EMB,2018-04
1492,543,RIF,2017-05
1493,544,CTXC,2020-06
1494,545,BUX,2021-04
1495,546,ICX,2018-10
1496,547,SPS,2021-07
1497,548,ICX,2021-08
1498,549,SPC,2020-12
1499,550,RLY,2012-06
1500,551,API3,2020-11
1501,552,NRVE,2017-01
1502,553,RLY,2012-06
1503,554,NMR,2016-04
1504,555,MTL,2019-08
1505,556,DPI,2018-12
1506,556,MVI,2018-12
1507,556,NFTI,2018-12
1508,557,FOX,2017-03
1509,558,FOX,2017-03
1510,559,ALGO,2018-10
1511,559,HBAR,2018-08
1512,559,ICP,2018-08
1513,559,OGN,2018-04
1514,560,SPC,2020-12
1515,561,SPC,2019-09
1516,562,BAND,2019-09
1517,562,CKB,2019-10
1518,562,LINA,2020-09
1519,562,MASK,2020-10
1520,562,SRM,2020-07
1521,562,STPT,2019-06
1522,562,UAT,2019-08
1523,563,PUSH,2020-12
1524,564,VGX,2018-06
1525,565,CWAP,2021-05
1526,565,DWZ,2021-02
1527,565,MARSH,2021-03
1528,566,SHIFT,2016-08
1529,567,TRIO,2018-02
1530,568,AERGO,2018-11
1531,568,AMPL,2018-03
1532,568,BOSON,2021-03
1533,568,BVOL,2019-08
1534,568,CKB,2018-07
1535,568,CTSI,2019-04
1536,568,DAPPT,2019-07
1537,568,DFX,2021-02
1538,568,FORTH,2018-03
1539,568,FTT,2019-08
1540,568,GZIL,2017-11
1541,568,HEDGE,2019-08
1542,568,HGET,2020-08
1543,568,IOST,2018-01
1544,568,KRT,2018-08
1545,568,LBA,2017-12
1546,568,LTX,2020-09
1547,568,LUNA,2018-08
1548,568,MKR,2017-12
1549,568,MPL,2020-12
1550,568,NU,2017-12
1551,568,OGN,2018-04
1552,568,OIN,2020-08
1553,568,REN,2018-02
1554,568,RENFIL,2018-02
1555,568,SDT,2018-08
1556,568,TT,2019-02
1557,568,UGAS,2018-07
1558,568,ZIL,2017-11
1559,568,wSIENNA,2021-05
1560,569,PAY,2017-03
1561,570,SHFT,2020-01
1562,571,AR,2020-07
1563,571,LINK,2017-04
1564,572,CKB,2018-07
1565,572,MASK,2018-01
1566,572,TRIO,2018-02
1567,573,1INCH,2020-08
1568,573,OIN,2020-08
1569,573,QASH,2021-08
1570,574,1INCH,2020-12
1571,574,CFG,2019-10
1572,574,DATA,2017-10
1573,574,DOT,2017-10
1574,574,GRT,2020-06
1575,574,KEEP,2018-04
1576,574,MANA,2017-08
1577,574,NEAR,2020-05
1578,574,OCEAN,2018-03
1579,574,OXT,2017-10
1580,574,RDN,2017-10
1581,574,SNT,2017-06
1582,574,STX,2017-12
1583,574,WCFG,2019-10
1584,574,YGG,2021-06
1585,574,ZRX,2017-08
1586,575,TSX,2021-04
1587,576,QARK,2021-05
1588,577,BVOL,2015-06
1589,577,FTT,2015-06
1590,577,HEDGE,2015-06
1591,578,AUCTION,2019-06
1592,579,AUCTION,2020-01
1593,580,PAX,2021-03
1594,580,PAXG,2021-03
1595,581,CXO,2020-04
1596,581,RLY,2012-06
1597,582,DVF,2021-05
1598,583,NRVE,2012-07
1599,584,AI,2021-07
1600,584,ATP,2018-08
1601,584,BAL,2021-05
1602,584,BMX,2019-08
1603,584,CFG,2021-02
1604,584,DGX,2017-11
1605,584,DVF,2021-05
1606,584,ENJ,2021-06
1607,584,EVT,2018-08
1608,584,HUB,2018-06
1609,584,KNC,2017-09
1610,584,KNCL,2017-09
1611,584,MKR,2017-12
1612,584,NKN,2018-03
1613,584,NU,2018-04
1614,584,OCE,2019-07
1615,584,PAY,2017-03
1616,584,PLA,2018-11
1617,584,POND,2019-07
1618,584,STOS,2021-05
1619,584,STX,2019-07
1620,584,WCFG,2021-02
1621,584,ZEC,2016-01
1622,585,2KEY,2018-04
1623,586,SHIFT,2014-05
1624,587,SHIFT,2020-10
1625,588,ICX,2021-08
1626,589,CEN,2019-01
1627,590,ICNQ,2017-11
1628,591,BAL,2021-05
1629,591,CFG,2019-10
1630,591,WCFG,2019-10
1631,592,BUX,2014-10
1632,593,DATA,2015-01
1633,593,OXT,2017-10
1634,593,SNT,2018-01
1635,594,NMR,2016-12
1636,595,SC,2020-09
1637,596,HNT,2013-11
1638,597,HBAR,2018-03
1639,598,PENDLE,2021-05
1640,599,YGG,2021-03
1641,600,PLA,2012-08
1642,600,RLY,2010-12
1643,600,SKL,2018-10
1644,600,STX,2019-12
1645,601,NRVE,2019-05
1646,602,ENG,2016-09
1647,602,NEX,2020-01
1648,603,HOPR,2020-07
1649,603,STAKE,2019-08
1650,603,VEGA,2019-10
1651,604,ROYA,2021-01
1652,605,VGX,2021-05
1653,606,GMEE,2013-05
1654,607,ASP,2014-07
1655,607,GASP,2014-07
1656,607,SPORTS,2018-01
1657,608,XST,2020-05
1658,609,ALGO,2018-07
1659,609,OGN,2018-04
1660,609,SOL,2019-07
1661,609,STX,2017-12
1662,610,AMPL,2018-03
1663,610,CVC,2016-01
1664,610,FORTH,2018-03
1665,611,IOTX,2018-10
1666,611,NKN,2018-08
1667,612,NRVE,2020-07
1668,613,BOND,2020-09
1669,613,PUSH,2020-12
1670,614,AAVE,2020-07
1671,614,DODO,2020-10
1672,614,FST,2020-03
1673,614,GRT,2020-06
1674,614,ILV,2021-03
1675,614,MPL,2020-12
1676,614,PTF,2020-09
1677,614,SBTC,2019-10
1678,614,SETH,2019-10
1679,614,SNX,2019-10
1680,614,sLINK,2019-10
1681,615,NMR,2016-12
1682,615,ZEC,2016-01
1683,616,TSX,2021-04
1684,617,NEU,2017-01
1685,618,STX,2017-12
1686,619,SHIFT,2019-03
1687,620,DMT,2020-05
1688,621,BNB,2017-09
1689,622,ACT,2017-07
1690,622,AE,2017-06
1691,622,AGIX,2017-12
1692,622,AUCTION,2020-03
1693,622,AVAX,2020-07
1694,622,BAT,2018-03
1695,622,BNB,2017-07
1696,622,CKB,2019-07
1697,622,DOT,2017-10
1698,622,ELF,2017-12
1699,622,KNC,2017-09
1700,622,KNCL,2017-09
1701,622,LINK,2017-09
1702,622,LRC,2017-08
1703,622,MANA,2017-08
1704,622,MASK,2021-02
1705,622,NEAR,2020-09
1706,622,PNT,2018-06
1707,622,POE,2017-08
1708,622,POWR,2017-09
1709,622,PST,2017-11
1710,622,SNT,2017-06
1711,622,STOS,2021-05
1712,622,STX,2019-07
1713,622,TFUEL,2017-11
1714,622,THETA,2017-11
1715,623,FOX,2016-03
1716,623,UBQ,2014-11
1717,624,NU,2016-08
1718,625,MINDS,2021-06
1719,626,HNT,2017-04
1720,627,MOB,2021-03
1721,628,CELO,2018-06
1722,628,CVC,2016-01
1723,628,GRT,2020-10
1724,629,NRVE,2020-08
1725,630,GNO,2017-04
1726,630,LRC,2018-02
1727,631,SHIFT,2017-07
1728,632,AERGO,2018-11
1729,632,ARPA,2018-08
1730,632,BYN,2021-06
1731,632,LBA,2018-04
1732,632,NAOS,2021-04
1733,632,OIN,2020-08
1734,633,ALN,2021-05
1735,633,ASTRO,2021-03
1736,633,ATA,2021-03
1737,633,CONV,2021-02
1738,633,DON,2021-04
1739,633,FORM,2021-05
1740,633,IF,2021-06
1741,633,IMPACT,2021-05
1742,633,L3P,2021-01
1743,633,LINA,2020-09
1744,633,MAPS,2021-01
1745,633,MARSH,2021-03
1746,633,NAOS,2021-04
1747,633,PENDLE,2021-05
1748,633,RAGE,2021-03
1749,633,REEF,2020-09
1750,633,SRM,2020-08
1751,633,WILD,2021-05
1752,633,YAE,2021-03
1753,634,ISP,2021-05
1754,634,SHLD,2021-05
1755,635,FET,2021-03
1756,635,ZIG,2021-04
1757,636,ZINC,2017-04
1758,637,TFUEL,2021-03
1759,637,THETA,2021-03
1760,638,HNS,2020-10
1761,638,KEEP,2015-09
1762,639,DPI,2018-12
1763,639,MVI,2018-12
1764,639,NFTI,2018-12
1765,640,CTXC,2018-04
1766,641,VEGA,2021-03
1767,642,SHFT,2021-03
1768,643,HNS,2016-02
1769,644,HNS,2016-02
1770,645,HNT,2016-04
1771,645,RLY,2012-06
1772,645,SNT,2014-03
1773,645,VGX,2018-10
1774,645,XRP,2013-05
1775,646,STORJ,2015-10
1776,647,MEM,2021-05
1777,648,STORJ,2017-02
1778,649,YGG,2021-08
1779,650,MOB,2021-08
1780,650,SPORTS,2021-03
1781,651,BOSON,2021-03
1782,651,BYN,2021-06
1783,651,MoFi,2021-04
1784,652,1INCH,2020-08
1785,652,AVAX,2020-06
1786,652,CFG,2021-02
1787,652,DODO,2020-10
1788,652,INDEX,2021-07
1789,652,IQ,2018-02
1790,652,KRT,2021-01
1791,652,LUNA,2021-01
1792,652,MVI,2021-07
1793,652,POOL,2021-05
1794,652,RAD,2021-02
1795,652,SDT,2021-01
1796,652,SENSE,2017-12
1797,652,SKL,2018-10
1798,652,WCFG,2021-02
1799,653,CSP,2018-09
1800,653,NU,2017-12
1801,654,BVOL,2019-08
1802,654,FTT,2019-08
1803,654,HEDGE,2019-08
1804,655,NRVE,2017-03
1805,656,PUSH,2020-12
1806,657,DMD,2017-03
1807,658,OGN,2018-04
1808,659,ISP,2021-05
1809,659,MoFi,2021-04
1810,659,SPS,2021-07
1811,660,MTL,2016-04
1812,661,ALI,2018-03
1813,662,CWAP,2021-05
1814,662,DOP,2021-05
1815,662,DVF,2021-05
1816,662,FORM,2021-05
1817,662,ISP,2021-05
1818,662,NAOS,2021-04
1819,663,STBU,2019-01
1820,664,AUDIO,2018-08
1821,664,CELO,2018-06
1822,664,KRT,2021-06
1823,664,LUNA,2021-06
1824,664,MINA,2019-04
1825,664,MOB,2021-03
1826,664,SDT,2021-06
1827,664,UDT,2018-06
1828,664,VGX,2021-05
1829,665,OXY,2021-02
1830,666,RLY,2018-01
1831,667,EC,2019-06
1832,667,MIX,2019-01
1833,668,BAT,2017-05
1834,668,CVC,2017-06
1835,668,FIL,2017-08
1836,668,MANA,2017-08
1837,668,MET,2018-06
1838,668,ZRX,2017-06
1839,669,IFT,2016-01
1840,670,RAISE,2011-11
1841,671,AKT,2020-03
1842,671,AST,2017-10
1843,671,BETH,2014-07
1844,671,BOS,2017-09
1845,671,DATA,2017-10
1846,671,DNT,2017-08
1847,671,DOT,2017-10
1848,671,DVPN,2021-03
1849,671,ETH,2014-07
1850,671,IXT,2018-05
1851,671,KDA,2018-01
1852,671,LA,2017-10
1853,671,LINK,2017-09
1854,671,MAID,2014-04
1855,671,MANA,2017-08
1856,671,MOBI,2017-11
1857,671,NCT,2018-03
1858,671,NIM,2018-02
1859,671,OCEAN,2018-03
1860,671,OGN,2018-04
1861,671,PING,2017-07
1862,671,POLY,2018-01
1863,671,POWR,2017-09
1864,671,PPT,2017-08
1865,671,QSP,2019-03
1866,671,REP,2015-10
1867,671,RFR,2017-12
1868,671,RIF,2017-05
1869,671,SBTC,2017-09
1870,671,SETH,2017-09
1871,671,SNM,2017-06
1872,671,SNT,2017-06
1873,671,SNX,2017-09
1874,671,STORJ,2016-05
1875,671,STX,2017-12
1876,671,SWM,2014-03
1877,671,VIB,2017-02
1878,671,ZCN,2017-07
1879,671,ZRX,2017-06
1880,671,erowan,2020-08
1881,671,sLINK,2017-09
1882,672,LQTY,2021-03
1883,672,PERP,2020-08
1884,673,RAD,2021-02
1885,674,OGN,2018-04
1886,675,VGX,2021-05
1887,676,NRVE,2019-02
1888,677,AVT,2016-11
1889,678,BLZ,2017-08
1890,678,DGX,2017-11
1891,678,RLY,2020-09
1892,679,RAISE,2020-01
1893,680,GMEE,2021-07
1894,681,CTXC,2021-05
1895,682,CXO,2016-07
1896,682,KEEP,2018-07
1897,682,VGX,2019-08
1898,683,SHIFT,2015-09
1899,684,RLY,2019-12
1900,685,GMEE,2017-05
1901,685,YOP,2016-11
1902,686,RLY,2020-12
1903,687,AMM,2017-03
1904,688,SHIFT,2014-05
1905,688,STX,2019-12
1906,689,KEEP,2018-04
1907,690,HUM,2019-07
1908,691,AR,2018-06
1909,691,CELO,2019-04
1910,691,LQTY,2021-03
1911,691,NEAR,2019-07
1912,691,SOV,2020-12
1913,691,VEGA,2019-10
1914,692,UCM,2019-01
1915,693,OST,2016-11
1916,693,SENSE,2015-01
1917,694,RLY,2010-12
1918,694,XCH,2018-03
1919,695,AUDIO,2021-09
1920,696,CVC,2016-01
1921,697,MDT,2017-08
1922,698,SHLD,2021-04
1923,698,TLM,2021-02
1924,699,KRT,2018-08
1925,699,LUNA,2018-08
1926,699,SDT,2018-08
1927,700,BUX,2016-02
1928,701,RLY,2012-06
1929,702,MLN,2017-10
1930,702,SC,2020-09
1931,702,SHX,2018-07
1932,702,SKL,2018-10
1933,703,CLOUT,2021-09
1934,704,FIL,2014-07
1935,704,HBAR,2018-05
1936,704,OXT,2017-10
1937,704,VET,2018-04
1938,705,LBC,2018-01
1939,706,MPAY,2019-05
1940,707,HNS,2015-03
1941,708,LKK,2020-04
1942,709,$COIN,2013-08
1943,709,FIL,2014-08
1944,709,FOX,2016-03
1945,709,KAVA,2019-02
1946,709,SHIFT,2014-05
1947,710,SHIFT,2019-06
1948,711,ALGO,2019-06
1949,712,PENDLE,2021-05
1950,713,NAOS,2021-04
1951,714,CFG,2021-02
1952,714,WCFG,2021-02
1953,715,INSUR,2021-02
1954,716,API3,2020-11
1955,716,AUCTION,2020-03
1956,716,AXS,2019-11
1957,716,CONV,2021-02
1958,716,DAPPT,2019-09
1959,716,DPI,2021-05
1960,716,ELF,2017-11
1961,716,ENJ,2021-06
1962,716,GMEE,2019-05
1963,716,HNS,2018-06
1964,716,ICX,2017-09
1965,716,IF,2021-06
1966,716,INJ,2020-09
1967,716,INSUR,2020-10
1968,716,KNC,2017-09
1969,716,KNCL,2017-09
1970,716,KRT,2018-08
1971,716,LINA,2020-09
1972,716,LUNA,2018-08
1973,716,MED,2017-11
1974,716,MVI,2021-05
1975,716,NFTI,2021-05
1976,716,NPXS,2017-11
1977,716,NPXSXEM,2017-11
1978,716,NU,2017-12
1979,716,OMG,2017-06
1980,716,ONG,2018-02
1981,716,ONT,2018-02
1982,716,PUNDIX,2017-11
1983,716,QKC,2018-04
1984,716,QTUM,2017-03
1985,716,RMT,2018-01
1986,716,SDT,2018-08
1987,716,SKL,2019-10
1988,716,SLP,2019-11
1989,716,STMX,2017-10
1990,716,TT,2018-03
1991,716,TVK,2020-11
1992,716,VEGA,2019-10
1993,716,WAXP,2017-10
1994,717,AVAX,2020-06
1995,717,CKB,2019-07
1996,717,DOT,2019-06
1997,717,ENJ,2021-06
1998,717,GMEE,2021-05
1999,717,IOTX,2019-07
2000,717,KAVA,2019-07
2001,717,KRT,2019-08
2002,717,LUNA,2019-08
2003,717,MASK,2019-12
2004,717,MIX,2019-01
2005,717,NAOS,2021-04
2006,717,ONE,2019-05
2007,717,OPIUM,2020-09
2008,717,PENDLE,2021-05
2009,717,SDT,2019-08
2010,717,SKL,2019-07
2011,717,STKR,2020-09
